CCAA,Mes,CasosConfirmados,Fallecidos,Year
Andalucia,3.0,16903.0,755.0,2020.0
Andalucia,4.0,316451.0,25210.0,2020.0
Andalucia,5.0,423448.0,41461.0,2020.0
Andalucia,6.0,266148.0,29629.0,2020.0
Aragon,3.0,6569.0,386.0,2020.0
Aragon,4.0,127709.0,15103.0,2020.0
Aragon,5.0,194366.0,26290.0,2020.0
Aragon,6.0,116292.0,17977.0,2020.0
Canarias,1.0,699.0,45.0,1970.0
Canarias,3.0,3372.0,139.0,2020.0
Canarias,4.0,56703.0,3116.0,2020.0
Canarias,5.0,44736.0,2944.0,2020.0
Canarias,6.0,30894.0,2096.0,2020.0
Cantabria,3.0,2308.0,83.0,2020.0
Cantabria,4.0,56279.0,3905.0,2020.0
Cantabria,5.0,84796.0,6367.0,2020.0
Cantabria,6.0,63869.0,4598.0,2020.0
Castilla Leon,1.0,0.0,0.0,1970.0
Castilla Leon,3.0,12012.0,1101.0,2020.0
Castilla Leon,4.0,412535.0,39818.0,2020.0
Castilla Leon,5.0,744520.0,59812.0,2020.0
Castilla Leon,6.0,440909.0,34498.0,2020.0
Castilla La Mancha,3.0,21339.0,2327.0,2020.0
Castilla La Mancha,4.0,434716.0,51454.0,2020.0
Castilla La Mancha,5.0,524893.0,79557.0,2020.0
Castilla La Mancha,6.0,363153.0,62351.0,2020.0
Cataluña,1.0,81651.0,13633.0,1970.0
Cataluña,3.0,43260.0,0.0,2020.0
Cataluña,4.0,1185059.0,135234.0,2020.0
Cataluña,5.0,1870767.0,343434.0,2020.0
Cataluña,6.0,1432414.0,259368.0,2020.0
Navarra,3.0,6948.0,345.0,2020.0
Navarra,4.0,125862.0,7213.0,2020.0
Navarra,5.0,240238.0,10784.0,2020.0
Navarra,6.0,112146.0,10878.0,2020.0
Madrid,3.0,72668.0,6995.0,2020.0
Madrid,4.0,1742326.0,204528.0,2020.0
Madrid,5.0,2146183.0,173208.0,2020.0
Madrid,6.0,1383023.0,0.0,2020.0
Valencia,1.0,0.0,0.0,1970.0
Valencia,3.0,10616.0,649.0,2020.0
Valencia,4.0,280758.0,27657.0,2020.0
Valencia,5.0,335610.0,35812.0,2020.0
Valencia,6.0,45224.0,5788.0,2020.0
Extremadura,3.0,3332.0,289.0,2020.0
Extremadura,4.0,80156.0,9834.0,2020.0
Extremadura,5.0,90463.0,15176.0,2020.0
Extremadura,6.0,59672.0,10239.0,2020.0
Galicia,3.0,6479.0,0.0,2020.0
Galicia,4.0,170635.0,8398.0,2020.0
Galicia,5.0,54510.0,14282.0,2020.0
Galicia,6.0,9683.0,10186.0,2020.0
Baleares,3.0,3200.0,131.0,2020.0
Baleares,4.0,47138.0,3755.0,2020.0
Baleares,5.0,61526.0,6609.0,2020.0
Baleares,6.0,47071.0,4748.0,2020.0
La Rioja,3.0,5503.0,246.0,2020.0
La Rioja,4.0,100782.0,7279.0,2020.0
La Rioja,5.0,120439.0,10483.0,2020.0
La Rioja,6.0,85331.0,7608.0,2020.0
Pais Vasco,3.0,15833.0,823.0,2020.0
Pais Vasco,4.0,343078.0,26836.0,2020.0
Pais Vasco,5.0,565183.0,45445.0,2020.0
Pais Vasco,6.0,413477.0,32763.0,2020.0
Asturias,3.0,2722.0,118.0,2020.0
Asturias,4.0,64296.0,4882.0,2020.0
Asturias,5.0,97640.0,9036.0,2020.0
Asturias,6.0,53492.0,7221.0,2020.0
Murcia,3.0,2015.0,71.0,2020.0
Murcia,4.0,46436.0,3077.0,2020.0
Murcia,5.0,78731.0,4441.0,2020.0
Murcia,6.0,69558.0,3293.0,2020.0
